Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.17-192.168.10.50-52578-17996-6,192.168.10.50,17996,101.212.197.67,52578,6,03/07/2017 10:42:21,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,2.5,2.1213203435596424,4.0,1.0,5.0,2.5,2.1213203435596424,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,395,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
173.194.68.108-192.168.10.19-465-56470-6,173.194.68.108,465,123.64.27.210,56470,6,7/7/2017 1:03,367039,2,2,6.0,37.0,6.0,0.0,3.0,4.242640687,37.0,0.0,18.5,26.1629509,117.153763,10.89802446,122346.3333,170309.3312,316867.0,55.0,50172.0,50172.0,0.0,50172.0,50172.0,366984.0,366984.0,0.0,366984.0,366984.0,0,0,0,0,52,64,5.44901223,5.44901223,0.0,37.0,8.6,16.08726204,258.8,0,0,0,0,1,1,0,0,1.0,10.75,3.0,18.5,52,0,0,0,0,0,0,2,6,2,37,175,307,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-40.70.221.249-64299-443-6,40.70.221.249,443,200.37.124.229,64299,6,4/7/2017 10:23,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32786.88525,61.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,16393.44262,16393.44262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,510,254,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-34740-80-6,192.168.10.50,80,237.136.102.51,34740,6,2017-07-06 09:41:00,533,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3752.345216,533.0,0.0,533.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1876.172608,1876.172608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,227,229,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.16-23.50.75.27-52926-80-6,192.168.10.16,52926,23.50.75.27,80,6,5/7/2017 12:18,22955,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.12698758,22955.0,0.0,22955.0,22955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,43.56349379,43.56349379,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,335,1006,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
178.255.83.1-192.168.10.16-80-55620-6,192.168.10.16,55620,178.255.83.1,80,6,03/07/2017 03:59:40,70576,3,4,438.0,860.0,438.0,0.0,146.0,252.87941790505607,860.0,0.0,215.0,430.0,18391.52119700748,99.18385853547947,11762.666666666666,12717.955946875529,23502.0,2.0,46718.0,23359.0,202.2325394193526,23502.0,23216.0,47405.0,15801.666666666668,27008.946338821388,46988.0,2.0,0,0,0,0,104,136,42.50736794377692,56.67649059170256,0.0,860.0,162.25,320.90129768691,102977.64285714286,0,0,0,1,0,0,0,0,1.0,185.42857142857144,146.0,215.0,104,0,0,0,0,0,0,3,438,4,860,29200,31,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.14-53-62750-17,192.168.10.14,62750,198.130.16.170,53,17,03/07/2017 02:40:08,175,2,2,78.0,270.0,39.0,39.0,39.0,0.0,135.0,135.0,135.0,0.0,1988571.4285714289,22857.14285714286,58.33333333333333,95.84014468547788,169.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,11428.57142857143,11428.57142857143,39.0,135.0,77.4,52.58136552049595,2764.8,0,0,0,0,0,0,0,0,1.0,96.75,39.0,135.0,64,0,0,0,0,0,0,2,78,2,270,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-62085-17,192.168.10.3,62085,44.164.217.62,53,17,7/7/2017 2:57,560,1,1,82.0,166.0,82.0,82.0,82.0,0.0,166.0,166.0,166.0,0.0,442857.1429,3571.428571,560.0,0.0,560.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1785.714286,1785.714286,82.0,166.0,110.0,48.49742261,2352.0,0,0,0,0,0,0,0,0,1.0,165.0,82.0,166.0,32,0,0,0,0,0,0,1,82,1,166,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.217.10.66-192.168.10.25-443-63819-6,172.217.10.66,443,192.19.180.39,63819,6,03/07/2017 04:40:27,76,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26315.78947368421,76.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,13157.894736842103,13157.894736842103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,362,32832,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.217.11.8-192.168.10.12-443-58096-6,192.168.10.12,58096,172.217.11.8,443,6,4/7/2017 2:33,4193969,5,1,123.0,46.0,46.0,0.0,24.6,23.27659769,46.0,46.0,46.0,0.0,40.29595832,1.430625739,838793.8,1852315.33,4152205.0,16.0,4193969.0,1048492.25,2069204.606,4152205.0,16.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,160,32,1.192188116,0.238437623,0.0,46.0,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0.0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,332,357,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
133.237.48.212-192.168.10.51-80-40394-6,192.168.10.51,40394,133.237.48.212,80,6,5/7/2017 3:11,185,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10810.81081,185.0,0.0,185.0,185.0,185.0,185.0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,10810.81081,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.51-53-21255-17,192.168.10.51,21255,119.178.154.220,53,17,03/07/2017 01:02:24,30798,2,2,84.0,282.0,42.0,42.0,42.0,0.0,141.0,141.0,141.0,0.0,11883.88856419248,129.8785635430872,10266.0,17737.0805658654,30747.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,80,64,64.9392817715436,64.9392817715436,42.0,141.0,81.6,54.224533193011446,2940.3,0,0,0,0,0,0,0,0,1.0,102.0,42.0,141.0,80,0,0,0,0,0,0,2,84,2,282,-1,-1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.17-53-50534-17,192.168.10.17,50534,217.145.131.193,53,17,5/7/2017 4:05,186,2,2,82.0,114.0,41.0,41.0,41.0,0.0,57.0,57.0,57.0,0.0,1053763.441,21505.37634,62.0,67.10439628,135.0,3.0,48.0,48.0,0.0,48.0,48.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,80,10752.68817,10752.68817,41.0,57.0,47.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1.0,59.25,41.0,57.0,64,0,0,0,0,0,0,2,82,2,114,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-61832-17,192.168.10.3,61832,192.80.254.53,53,17,2017-07-06 11:22:00,24661,1,1,51.0,112.0,51.0,51.0,51.0,0.0,112.0,112.0,112.0,0.0,6609.626536,81.0997121,24661.0,0.0,24661.0,24661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,40.54985605,40.54985605,51.0,112.0,71.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1.0,107.0,51.0,112.0,32,0,0,0,0,0,0,1,51,1,112,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.25-17.253.20.125-123-123-17,192.168.10.25,123,17.253.20.125,123,17,4/7/2017 11:16,63026048,2,2,96.0,96.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3.046359499,0.063465823,21000000.0,36300000.0,63000000.0,28204.0,63000000.0,63000000.0,0.0,63000000.0,63000000.0,63000000.0,63000000.0,0.0,63000000.0,63000000.0,0,0,0,0,52,64,0.031732911,0.031732911,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,60.0,48.0,48.0,52,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,28233.0,0.0,28233.0,28233.0,63000000.0,0.0,63000000.0,63000000.0,BENIGN
172.217.6.232-192.168.10.19-443-39003-6,192.168.10.19,39003,172.217.6.232,443,6,4/7/2017 9:24,5480374,7,4,635.0,168.0,517.0,0.0,90.71428571,190.7072051,168.0,0.0,42.0,84.0,146.5228468,2.007162285,548037.4,1678297.283,5323994.0,3.0,5480374.0,913395.6667,2198138.127,5400178.0,188.0,118494.0,39498.0,38725.8961,77406.0,3.0,0,0,0,0,232,136,1.27728509,0.729877195,0.0,517.0,66.91666667,150.8487854,22755.35606,0,0,0,1,0,0,0,0,0.0,73.0,90.71428571,42.0,232,0,0,0,0,0,0,7,635,4,168,29200,340,3,32,156192.0,0.0,156192.0,156192.0,5323994.0,0.0,5323994.0,5323994.0,BENIGN
192.168.10.17-35.164.147.83-58756-443-6,35.164.147.83,443,72.212.240.89,58756,6,4/7/2017 3:32,4,2,0,31.0,0.0,31.0,0.0,15.5,21.92031022,0.0,0.0,0.0,0.0,7750000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,500000.0,0.0,0.0,31.0,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,114,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-60757-17,192.168.10.3,60757,208.98.189.2,53,17,4/7/2017 9:30,51075,1,1,44.0,72.0,44.0,44.0,44.0,0.0,72.0,72.0,72.0,0.0,2271.169848,39.15810083,51075.0,0.0,51075.0,51075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,19.57905042,19.57905042,44.0,72.0,53.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1.0,80.0,44.0,72.0,20,0,0,0,0,0,0,1,44,1,72,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-61222-17,192.168.10.3,61222,119.178.153.192,53,17,03/07/2017 01:51:34,30378,1,1,56.0,72.0,56.0,56.0,56.0,0.0,72.0,72.0,72.0,0.0,4213.575613931134,65.83711896767397,30378.0,0.0,30378.0,30378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,32.91855948383699,32.91855948383699,56.0,72.0,61.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,92.0,56.0,72.0,20,0,0,0,0,0,0,1,56,1,72,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.25-52.84.86.104-49475-443-6,192.168.10.25,49475,52.84.86.104,443,6,5/7/2017 8:58,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,33304,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.217.9.238-192.168.10.17-80-32871-6,172.217.9.238,80,68.249.28.227,32871,6,4/7/2017 12:00,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66667,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,33333.33333,33333.33333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,340,240,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-61175-17,192.168.10.3,61175,165.104.100.197,53,17,03/07/2017 11:35:01,204750,1,1,44.0,137.0,44.0,44.0,44.0,0.0,137.0,137.0,137.0,0.0,884.004884004884,9.768009768009769,204750.0,0.0,204750.0,204750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,4.884004884004884,4.884004884004884,44.0,137.0,75.0,53.6935750346352,2883.0,0,0,0,0,0,0,0,0,1.0,112.5,44.0,137.0,20,0,0,0,0,0,0,1,44,1,137,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.15-192.82.242.50-51513-80-6,192.168.10.15,51513,192.82.242.50,80,6,5/7/2017 10:15,218941,4,3,954.0,1210.0,942.0,0.0,238.5,469.0085287,1202.0,2.0,403.3333333,691.6685141,9883.941336,31.9720838,36490.16667,61842.40052,160837.0,154.0,218941.0,72980.33333,76253.44457,160837.0,24003.0,186343.0,93171.5,130461.9082,185422.0,921.0,0,0,0,0,92,64,18.26976217,13.70232163,0.0,1202.0,270.5,499.5595203,249559.7143,0,0,0,1,0,0,0,0,0.0,309.1428571,238.5,403.3333333,92,0,0,0,0,0,0,4,954,3,1210,8192,8190,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.14-53-64716-17,192.168.10.14,64716,52.185.7.37,53,17,03/07/2017 11:46:54,215,2,2,72.0,328.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,1860465.1162790696,18604.6511627907,71.66666666666666,118.93415545306291,209.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,9302.32558139535,9302.32558139535,36.0,164.0,87.2,70.10848736066126,4915.2,0,0,0,0,0,0,0,0,1.0,109.0,36.0,164.0,64,0,0,0,0,0,0,2,72,2,328,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.15-53-61319-17,192.168.10.15,61319,202.48.163.44,53,17,03/07/2017 04:49:24,31048,4,2,340.0,334.0,85.0,85.0,85.0,0.0,167.0,167.0,167.0,0.0,21708.322597268747,193.2491625869621,6209.6,13731.648546332666,30773.0,3.0,30779.0,10259.666666666668,17765.067782964783,30773.0,3.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,104,40,128.83277505797474,64.41638752898737,85.0,167.0,108.42857142857144,40.01190299088986,1600.9523809523807,0,0,0,0,0,0,0,0,0.0,126.5,85.0,167.0,104,0,0,0,0,0,0,4,340,2,334,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.15-53-60139-17,192.168.10.15,60139,18.24.127.251,53,17,5/7/2017 10:15,327,2,2,132.0,388.0,66.0,66.0,66.0,0.0,194.0,194.0,194.0,0.0,1590214.067,12232.4159,109.0,183.5973856,321.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,80,80,6116.207951,6116.207951,66.0,194.0,117.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1.0,146.5,66.0,194.0,80,0,0,0,0,0,0,2,132,2,388,-1,-1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
