Source IP,Destination IP,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1,41.20.158.122,0,1.0,920.6153846,73.4,1449.375,144,0,0,0,0,0,0,5,367,8,11595,0,235,2,20,10990.0,0.0,10990.0,10990.0,99400000.0,0.0,99400000.0,99400000.0,DoS Hulk
172.16.0.1,23.170.215.39,0,0.0,916.6153846,45.85714286,1932.5,232,0,0,0,0,0,0,7,321,6,11595,251,235,1,32,1008.0,0.0,1008.0,1008.0,65800000.0,0.0,65800000.0,65800000.0,DoS Hulk
192.168.10.5,205.174.165.73,0,1.0,1343.195122,3917.928571,8.148148148,572,0,0,0,0,0,0,28,109702,54,440,8192,1255,27,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,213.87.211.164,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,151.10.74.118,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,177.65.221.22,0,0.0,0.0,0.0,0.0,160,0,0,0,0,0,0,5,0,0,0,251,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
172.16.0.1,14.165.198.198,0,1.0,12.16666667,11.55555556,12.53333333,296,0,0,0,0,0,0,9,104,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1,183.117.53.184,0,1.0,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,151.162.166.183,0,1.0,11.70833333,10.33333333,12.53333333,296,0,0,0,0,0,0,9,93,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1,81.110.176.111,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS GoldenEye
172.16.0.1,120.57.56.181,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
205.174.165.73,103.72.64.27,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,137.135.91.169,0,0.0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7015888.0,0.0,7015888.0,7015888.0,18700000.0,12200000.0,32100000.0,8015895.0,DoS Slowhttptest
172.16.0.1,103.150.70.58,0,1.0,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,195.172.213.179,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,123.13.48.66,0,0.0,993.5833333,46.85714286,2319.0,232,0,0,0,0,0,0,7,328,5,11595,274,235,1,32,5.0,0.0,5.0,5.0,85900000.0,0.0,85900000.0,85900000.0,DoS Hulk
172.16.0.1,108.40.93.212,0,0.0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.16.0.1,219.139.182.8,0,1.0,12.45833333,12.33333333,12.53333333,296,0,0,0,0,0,0,9,111,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1,44.157.37.86,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1,43.184.175.194,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,236.140.52.200,0,0.0,1097.636364,63.14285714,2908.0,232,0,0,0,0,0,0,7,442,4,11632,29200,235,1,32,731.0,0.0,731.0,731.0,6863752.0,0.0,6863752.0,6863752.0,DoS GoldenEye
172.16.0.1,171.208.154.91,0,1.0,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,42.0,0.0,42.0,42.0,118000000.0,0.0,118000000.0,118000000.0,DoS slowloris
172.16.0.1,117.128.70.254,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,112.56.220.32,0,0.0,66.75,106.8,0.0,168,0,0,0,0,0,0,5,534,3,0,29200,235,2,32,5257.0,0.0,5257.0,5257.0,110000000.0,0.0,110000000.0,110000000.0,DoS Slowhttptest
172.16.0.1,36.81.234.169,0,0.0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
205.174.165.73,106.225.223.101,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,87.31.112.169,0,1.0,327.5,149.75,505.25,136,0,0,0,0,0,0,4,599,4,2021,29200,236,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Sql Injection
172.16.0.1,216.70.3.54,0,1.0,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,52.0,0.0,52.0,52.0,101000000.0,0.0,101000000.0,101000000.0,DoS slowloris
172.16.0.1,197.56.110.100,0,0.0,800.2666667,45.44444444,1932.5,296,0,0,0,0,0,0,9,409,6,11595,251,235,1,32,1012.0,0.0,1012.0,1012.0,85500000.0,0.0,85500000.0,85500000.0,DoS Hulk
172.16.0.1,4.247.15.238,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
192.168.10.14,205.174.165.73,0,1.0,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,45.149.87.90,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
172.16.0.1,151.76.18.157,0,2.0,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.16.0.1,179.108.45.236,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,257,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,7.40.110.226,0,0.0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,50.0,0.0,50.0,50.0,36200000.0,34900000.0,60900000.0,11500000.0,DDoS
192.168.10.5,205.174.165.73,0,0.0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,133.226.206.232,0,0.0,75.42857143,132.0,0.0,136,0,0,0,0,0,0,4,528,3,0,29200,235,2,32,5312.0,0.0,5312.0,5312.0,110000000.0,0.0,110000000.0,110000000.0,DoS Slowhttptest
172.16.0.1,80.145.52.250,0,0.0,797.0,40.0,1932.5,284,0,0,0,0,0,0,9,360,6,11595,274,235,2,20,1959.0,0.0,1959.0,1959.0,85500000.0,0.0,85500000.0,85500000.0,DoS Hulk
172.16.0.1,149.157.221.63,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,103.213.22.150,0,1.0,8.0,8.0,0.0,32,0,0,0,0,0,0,1,8,1,0,229,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
205.174.165.73,205.47.166.147,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,57.194.193.243,0,0.0,793.6666667,38.75,1656.428571,252,0,0,0,0,0,0,8,310,7,11595,251,235,2,20,1991.0,0.0,1991.0,1991.0,85400000.0,0.0,85400000.0,85400000.0,DoS Hulk
172.16.0.1,143.38.220.23,0,0.0,883.6666667,166.0,2319.0,328,0,0,0,0,0,0,10,1660,5,11595,251,235,5,32,50.0,0.0,50.0,50.0,101000000.0,0.0,101000000.0,101000000.0,DoS Hulk
172.16.0.1,82.232.177.184,0,2.0,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.16.0.1,162.205.122.94,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1,193.241.187.65,0,0.0,1620.457401,3.36736161,3773.303973,89024,0,0,0,0,0,0,2782,9368,2089,7882432,235,235,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed
172.16.0.1,218.175.154.31,0,1.0,428.0,81.75,705.0,136,0,0,0,0,0,0,4,327,5,3525,29200,235,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS GoldenEye
192.168.10.15,205.174.165.73,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,80.94.107.48,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
172.16.0.1,58.72.127.169,0,0.0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3203438.5,4529562.699,6406323.0,554.0,19300000.0,18800000.0,51400000.0,5894792.0,DoS slowloris
172.16.0.1,238.145.132.35,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,38.7.26.87,0,1.0,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.16.0.1,74.202.172.161,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,168.221.178.59,0,1.0,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,162.146.7.97,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,191.19.144.17,0,0.0,917.9230769,37.625,2326.4,264,0,0,0,0,0,0,8,301,5,11632,29200,235,1,32,1029.0,0.0,1029.0,1029.0,6848332.0,0.0,6848332.0,6848332.0,DoS GoldenEye
172.16.0.1,207.132.14.41,0,0.0,850.6428571,39.25,1932.5,264,0,0,0,0,0,0,8,314,6,11595,274,235,1,32,1007.0,0.0,1007.0,1007.0,99600000.0,0.0,99600000.0,99600000.0,DoS Hulk
172.16.0.1,209.171.171.126,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1,107.155.203.205,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,145.7.169.169,0,0.0,1609.989526,7.443968594,3779.578616,89664,0,0,0,0,0,0,2802,20858,2067,7812389,235,349,123,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed
172.16.0.1,95.101.22.25,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,236,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,75.115.1.47,0,1.0,89.67924528,100.4,83.18181818,648,0,0,0,0,0,0,20,2008,33,2745,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,64.82.138.69,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,142.234.29.157,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,98.193.187.70,0,0.0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3708053.5,5243249.816,7415591.0,516.0,19300000.0,18800000.0,51300000.0,5840006.0,DoS slowloris
172.16.0.1,215.195.18.33,0,1.0,12.41666667,12.22222222,12.53333333,296,0,0,0,0,0,0,9,110,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1,21.145.109.82,0,0.0,864.8571429,47.6,2908.0,336,0,0,0,0,0,0,10,476,4,11632,29200,235,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS GoldenEye
172.16.0.1,239.77.92.99,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,210.11.193.173,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1,22.161.132.29,0,0.0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1,70.24.65.55,0,0.0,920.9230769,53.85714286,1932.5,220,0,0,0,0,0,0,7,377,6,11595,274,235,2,20,1016.0,0.0,1016.0,1016.0,99900000.0,0.0,99900000.0,99900000.0,DoS Hulk
172.16.0.1,155.152.33.79,0,0.0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7005539.0,0.0,7005539.0,7005539.0,18700000.0,12300000.0,32100000.0,8015922.0,DoS Slowhttptest
172.16.0.1,222.6.107.244,0,2.0,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.16.0.1,98.92.194.56,0,0.0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3707439.0,5242298.757,7414304.0,574.0,19200000.0,18800000.0,51300000.0,5775595.0,DoS slowloris
192.168.10.8,205.174.165.73,0,0.0,49.14285714,52.5,44.66666667,92,0,0,0,0,0,0,4,210,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,128.211.72.195,0,1.0,924.9230769,70.5,1656.428571,164,0,0,0,0,0,0,6,423,7,11595,0,235,3,20,13976.0,0.0,13976.0,13976.0,99500000.0,0.0,99500000.0,99500000.0,DoS Hulk
172.16.0.1,207.29.239.138,0,1.0,89.67924528,100.4,83.18181818,648,0,0,0,0,0,0,20,2008,33,2745,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,163.232.38.206,0,1.0,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,26.101.167.6,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,92.94.110.208,0,0.0,920.5384615,53.14285714,1932.5,232,0,0,0,0,0,0,7,372,6,11595,251,235,1,32,5.0,0.0,5.0,5.0,34400000.0,0.0,34400000.0,34400000.0,DoS Hulk
172.16.0.1,182.51.70.96,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,64.226.59.44,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,12.223.95.84,0,1.0,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,45.0,0.0,45.0,45.0,119000000.0,0.0,119000000.0,119000000.0,DoS slowloris
172.16.0.1,33.159.238.38,0,0.0,144.875,165.5714286,0.0,456,0,0,0,0,0,0,14,2318,2,0,29200,28960,11,32,3205487.5,4532463.251,6410423.0,552.0,11200000.0,6557108.621,19800000.0,5810566.0,DoS slowloris
172.16.0.1,4.143.21.252,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,104.22.177.45,0,0.0,1620.38662,4.408339324,3768.3099,89024,0,0,0,0,0,0,2782,12264,2091,7879536,235,235,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heartbleed
172.16.0.1,92.223.188.44,0,1.0,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.16.0.1,120.70.16.218,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,200.130.24.220,0,1.0,12.08333333,11.33333333,12.53333333,296,0,0,0,0,0,0,9,102,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
