Source IP,Destination IP,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,Label
172.16.0.1,51.157.8.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,15384.61538,15384.61538,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,SSH-Patator
172.16.0.1,77.219.222.237,14400000.0,51400000.0,4.0,103000000.0,51300000.0,28000000.0,71200000.0,31500000.0,0,0,0,0,456,100,0.136320479,0.029211531,0.0,231.0,141.5,115.4547276,13329.79412,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,70.140.203.138,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,666666.6667,0.0,0.0,14.0,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,FTP-Patator
172.16.0.1,70.35.86.231,37200000.0,98300000.0,2.0,9595.0,1599.166667,2747.675411,6953.0,44.0,0,0,0,0,264,232,0.081355467,0.071186033,0.0,5792.0,745.75,1577.823163,2489525.933,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,173.220.168.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,18518.51852,18518.51852,0.0,6.0,2.0,3.464101615,12.0,0,0,0,1,0,0,0,PortScan
172.16.0.1,80.236.253.114,35200000.0,99500000.0,0.0,188676.0,37735.2,75474.36413,172189.0,53.0,0,0,0,0,296,200,0.090291666,0.060194444,0.0,4344.0,748.6875,1577.055007,2487102.496,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,19.204.90.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,23255.81395,23255.81395,0.0,6.0,2.0,3.464101615,12.0,0,0,0,1,0,0,0,PortScan
172.16.0.1,20.59.160.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,37037.03704,37037.03704,0.0,6.0,2.0,3.464101615,12.0,0,0,0,1,0,0,0,PortScan
172.16.0.1,27.133.147.125,3450899.67,6902164.0,185.0,11900000.0,3968092.0,3564097.292,6899715.0,885.0,0,0,0,0,168,136,0.420015485,0.336012388,0.0,3525.0,395.6,1107.87045,1227376.933,0,0,0,1,0,0,0,DoS GoldenEye
172.16.0.1,214.125.45.173,1264108.466,3098929.0,231.0,8492877.0,606634.0714,1156509.985,3051941.0,3.0,0,0,0,0,296,488,1.059700463,1.766167438,0.0,34.0,11.68,12.57881817,158.2266667,0,0,0,1,0,0,0,FTP-Patator
172.16.0.1,149.240.239.188,710855.8613,2003977.0,998675.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,0.999116781,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,130.9.8.6,2150695.592,5304185.0,181.0,5300578.0,1766859.333,3059484.743,5299648.0,195.0,0,0,0,0,264,136,0.948726661,0.47436333,0.0,10184.0,918.0,2812.862599,7912196.0,0,0,0,1,0,0,0,DoS GoldenEye
172.16.0.1,130.28.171.145,955101.7503,2408177.0,790.0,13200000.0,411382.25,826925.8945,2362930.0,3.0,0,0,0,0,712,1064,1.671181135,2.506771702,0.0,976.0,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,SSH-Patator
172.16.0.1,183.14.218.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,12658.22785,12658.22785,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,Web Attack – Brute Force
192.168.10.15,205.174.165.73,9445.532383,513348.0,499990.0,1013145.0,506572.5,9376.943025,513203.0,499942.0,0,0,0,0,92,60,2.959084735,2.959084735,0.0,6.0,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,Bot
172.16.0.1,179.35.54.146,12880.42567,38763.0,4.0,5029127.0,838187.8333,2040885.705,5004120.0,870.0,0,0,0,0,296,232,1.789530175,1.391856803,0.0,3076.0,430.7058824,784.151274,614893.2206,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,161.237.242.142,6513203.299,11300000.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.354525007,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,DDoS
172.16.0.1,88.131.209.137,0.0,108000000.0,108000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,20,0.018573096,0.009286548,0.0,295.0,75.25,146.5273012,21470.25,0,0,0,0,1,0,0,DoS GoldenEye
172.16.0.1,41.20.158.122,49700000.0,99400000.0,1266.0,99400000.0,14200000.0,37600000.0,99400000.0,2.0,0,0,0,0,144,264,0.0502928,0.080468479,0.0,4344.0,854.8571429,1565.524235,2450866.132,1,0,0,0,0,0,0,DoS Hulk
172.16.0.1,23.170.215.39,26900000.0,65800000.0,1.0,93397.0,18679.4,34754.2,80025.0,20.0,0,0,0,0,232,200,0.106164209,0.090997894,0.0,4344.0,851.1428571,1461.435746,2135794.44,0,0,0,0,1,0,0,DoS Hulk
192.168.10.5,205.174.165.73,15776.69181,82243.0,2.0,87927.0,1659.0,10584.06963,77230.0,0.0,0,0,0,0,572,1092,313.3533283,604.3242759,0.0,18980.0,1327.012048,2922.401007,8540427.646,0,0,0,1,0,0,0,Bot
172.16.0.1,213.87.211.164,3912462.832,5533934.0,876.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.542024026,0.180674675,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,151.10.74.118,4171148.656,5899577.0,682.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.508452256,0.169484085,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – Brute Force
172.16.0.1,177.65.221.22,804.8140572,1897.0,217.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,1797.268152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,14.165.198.198,1450283.314,3327764.0,49.0,9138361.0,652740.0714,1274720.265,3280686.0,3.0,0,0,0,0,296,488,0.984844232,1.641407054,0.0,34.0,11.68,12.59536952,158.6433333,0,0,0,1,0,0,0,FTP-Patator
172.16.0.1,183.117.53.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,20408.16327,20408.16327,0.0,6.0,2.0,3.464101615,12.0,0,0,0,1,0,0,0,PortScan
172.16.0.1,151.162.166.183,1537426.088,3431308.0,252.0,10200000.0,729617.2143,1351249.263,3388818.0,3.0,0,0,0,0,296,488,0.881084007,1.468473346,0.0,34.0,11.24,12.28576412,150.94,0,0,0,1,0,0,0,FTP-Patator
172.16.0.1,81.110.176.111,0.0,4077083.0,4077083.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,0.490546795,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,DoS GoldenEye
172.16.0.1,120.57.56.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,DoS Hulk
205.174.165.73,103.72.64.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,142857.1429,142857.1429,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,Bot
172.16.0.1,137.135.91.169,11900000.0,32100000.0,999921.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.110858953,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS Slowhttptest
172.16.0.1,103.150.70.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,20,13513.51351,13513.51351,2.0,6.0,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,PortScan
172.16.0.1,195.172.213.179,3588728.842,5075959.0,730.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.590936337,0.196978779,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – Brute Force
172.16.0.1,123.13.48.66,35100000.0,85900000.0,1.0,149322.0,37330.5,66127.5373,136104.0,45.0,0,0,0,0,232,168,0.081384022,0.058131444,0.0,10136.0,917.1538462,2798.923598,7833973.308,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,108.40.93.212,1182734.409,2050030.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1.948386273,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,DDoS
172.16.0.1,219.139.182.8,1417711.626,3187614.0,3.0,9469883.0,676420.2143,1322563.622,3299855.0,3.0,0,0,0,0,296,488,0.950372097,1.583953495,0.0,34.0,11.96,12.78175783,163.3733333,0,0,0,1,0,0,0,FTP-Patator
172.16.0.1,44.157.37.86,710013.6972,2003945.0,999834.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,0.998741918,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,43.184.175.194,4046465.931,5723276.0,709.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.524110388,0.174703463,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,236.140.52.200,2803092.398,6866487.0,3.0,11900000.0,3955009.333,3549013.655,6863752.0,656.0,0,0,0,0,232,136,0.58996538,0.337123074,0.0,11632.0,1006.166667,3348.68131,11200000.0,0,0,0,1,0,0,0,DoS GoldenEye
172.16.0.1,171.208.154.91,0.0,118000000.0,118000000.0,118000000.0,118000000.0,0.0,118000000.0,118000000.0,1,0,0,0,64,64,0.016947329,0.016947329,0.0,8.0,4.8,4.38178046,19.2,0,1,0,0,1,0,0,DoS slowloris
172.16.0.1,117.128.70.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,SSH-Patator
172.16.0.1,112.56.220.32,54500000.0,110000000.0,650.0,110000000.0,54800000.0,77500000.0,110000000.0,5209.0,0,0,0,0,168,104,0.045017536,0.027010521,0.0,520.0,59.33333333,172.8120366,29864.0,0,0,0,1,0,0,0,DoS Slowhttptest
172.16.0.1,36.81.234.169,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,42553.19149,0.0,0.0,14.0,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,FTP-Patator
205.174.165.73,106.225.223.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,31250.0,31250.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,Bot
172.16.0.1,87.31.112.169,2628.237496,5066.0,330.0,5005995.0,1668665.0,2885649.943,5000726.0,988.0,0,0,0,0,136,136,0.799014336,0.799014336,0.0,2021.0,291.1111111,678.2819186,460066.3611,0,0,0,1,0,0,0,Web Attack – Sql Injection
172.16.0.1,216.70.3.54,0.0,101000000.0,101000000.0,101000000.0,101000000.0,0.0,101000000.0,101000000.0,1,0,0,0,64,64,0.01980252,0.01980252,0.0,8.0,4.8,4.38178046,19.2,0,1,0,0,1,0,0,DoS slowloris
172.16.0.1,197.56.110.100,30200000.0,85500000.0,1.0,146443.0,29288.6,58819.60539,134103.0,34.0,0,0,0,0,296,200,0.105085979,0.070057319,0.0,4344.0,750.25,1486.098628,2208489.133,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,4.247.15.238,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,666666.6667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,DoS Hulk
192.168.10.14,205.174.165.73,3819.083725,508105.0,502704.0,1010903.0,505451.5,3874.238054,508191.0,502712.0,0,0,0,0,92,60,2.966267605,2.966267605,0.0,6.0,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,Bot
172.16.0.1,45.149.87.90,0.0,1007.0,1007.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,1986.097319,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,151.76.18.157,824.4865069,1928.0,762.0,875327.0,175065.4,389845.7486,872440.0,10.0,0,0,0,0,72,132,3.426632933,6.853265867,0.0,5840.0,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,DDoS
172.16.0.1,179.108.45.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,9900.990099,9900.990099,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,SSH-Patator
172.16.0.1,7.40.110.226,22700000.0,60900000.0,1.0,1406274.0,281254.8,623635.6017,1396826.0,47.0,0,0,0,0,172,132,0.108327266,0.081245449,0.0,5755.0,777.5333333,1622.210611,2631567.267,0,0,0,0,1,0,0,DDoS
192.168.10.5,205.174.165.73,38467.54488,67039.0,65.0,66483.0,33241.5,45995.1748,65765.0,718.0,0,0,0,0,92,72,58.93880678,44.20410509,0.0,196.0,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,Bot
172.16.0.1,133.226.206.232,63500000.0,110000000.0,628.0,110000000.0,55000000.0,77700000.0,110000000.0,5248.0,0,0,0,0,136,104,0.036383012,0.027287259,0.0,520.0,66.0,183.4650609,33659.42857,0,0,0,1,0,0,0,DoS Slowhttptest
172.16.0.1,80.145.52.250,30200000.0,85500000.0,1.0,169413.0,33882.6,68054.91059,155144.0,17.0,0,0,0,0,284,200,0.105083676,0.070055784,0.0,4344.0,747.1875,1390.377178,1933148.696,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,149.157.221.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,12820.51282,12820.51282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,SSH-Patator
172.16.0.1,103.213.22.150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,32,19607.84314,19607.84314,0.0,8.0,5.333333333,4.618802154,21.33333333,0,1,0,0,1,0,0,DoS slowloris
205.174.165.73,205.47.166.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,20833.33333,20833.33333,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,Bot
172.16.0.1,57.194.193.243,32300000.0,85400000.0,1.0,170479.0,28413.16667,59686.23322,149055.0,48.0,0,0,0,0,252,232,0.093484987,0.081799364,0.0,4344.0,744.0625,1286.173367,1654241.929,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,143.38.220.23,33500000.0,101000000.0,1.0,1672802.0,418200.5,835711.6738,1671768.0,197.0,0,0,0,0,328,168,0.097638946,0.048819473,0.0,5792.0,828.4375,1632.072505,2663660.663,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,82.232.177.184,1749.382177,2523.0,49.0,1869413.0,373882.6,834424.9138,1866546.0,17.0,0,0,0,0,72,132,1.604738901,3.209477802,0.0,4380.0,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,DDoS
172.16.0.1,162.205.122.94,709748.5321,2003817.0,1000081.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,0.998702353,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,193.241.187.65,201057.4173,998229.0,0.0,119000000.0,57135.03448,230051.9919,995302.0,2.0,0,0,0,0,89024,66848,23.31975468,17.51077193,0.0,17376.0,1620.124795,2427.68666,5893662.519,0,0,0,0,1,0,0,Heartbleed
172.16.0.1,218.175.154.31,2574770.896,4460036.0,225.0,9454085.0,2363521.25,2737953.659,5004027.0,191.0,0,0,0,0,136,168,0.423096813,0.528871016,0.0,2077.0,385.2,747.8689428,559307.9556,0,0,0,1,0,0,0,DoS GoldenEye
192.168.10.15,205.174.165.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,Bot
172.16.0.1,80.94.107.48,0.0,225.0,225.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,8888.888889,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,58.72.127.169,14400000.0,51400000.0,223.0,103000000.0,51400000.0,28000000.0,71200000.0,31500000.0,0,0,0,0,456,100,0.136306759,0.029208591,0.0,231.0,141.5,115.4547276,13329.79412,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,238.145.132.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,12987.01299,12987.01299,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,SSH-Patator
172.16.0.1,38.7.26.87,15524.52938,22004.0,49.0,440221.0,146740.3333,235236.9681,418076.0,157.0,0,0,0,0,72,92,6.812499574,9.083332766,0.0,7215.0,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,DDoS
172.16.0.1,74.202.172.161,3626613.502,5129681.0,875.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.584731947,0.194910649,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,168.221.178.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,17857.14286,17857.14286,0.0,6.0,2.0,3.464101615,12.0,0,0,0,1,0,0,0,PortScan
172.16.0.1,162.146.7.97,3991593.031,5645850.0,885.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.531280466,0.177093489,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,191.19.144.17,2589431.988,6851314.0,1.0,11900000.0,2963445.25,3503148.625,6848332.0,66.0,0,0,0,0,264,168,0.674884624,0.42180289,0.0,5840.0,852.3571429,2104.432816,4428637.478,0,0,0,1,0,0,0,DoS GoldenEye
172.16.0.1,207.132.14.41,37700000.0,99600000.0,1.0,51946.0,10389.2,22306.80465,50275.0,2.0,0,0,0,0,264,200,0.080259327,0.060194495,0.0,5792.0,793.9333333,1711.898965,2930598.067,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,209.171.171.126,710945.6639,2003987.0,998558.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,0.999152386,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,107.155.203.205,4153454.723,5874839.0,967.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.510568252,0.170189417,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – Brute Force
172.16.0.1,145.7.169.169,201441.2784,1996118.0,0.0,119000000.0,57723.92982,233324.7174,1995346.0,1.0,0,0,0,0,89664,66144,23.49534751,17.33222102,0.0,13032.0,1609.658932,2427.561637,5893055.501,0,0,0,0,1,0,0,Heartbleed
172.16.0.1,95.101.22.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,13513.51351,13513.51351,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,Web Attack – Brute Force
172.16.0.1,75.115.1.47,929986.1846,2395909.0,4.0,12800000.0,400932.0938,813762.816,2371264.0,3.0,0,0,0,0,648,1064,1.558860548,2.572119904,0.0,976.0,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,SSH-Patator
172.16.0.1,64.82.138.69,3686214.118,5213998.0,904.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.575274473,0.191758158,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,142.234.29.157,3765517.558,5326139.0,893.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.56316538,0.187721793,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,98.193.187.70,13900000.0,51300000.0,402.0,103000000.0,51300000.0,28000000.0,71200000.0,31500000.0,0,0,0,0,496,100,0.14468886,0.028937772,0.0,231.0,134.0526316,116.8034787,13643.05263,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,215.195.18.33,1511134.112,3748954.0,19.0,9709152.0,693510.8571,1369653.096,3706486.0,3.0,0,0,0,0,296,488,0.926948335,1.544913891,0.0,34.0,11.92,12.76035527,162.8266667,0,0,0,1,0,0,0,FTP-Patator
172.16.0.1,21.145.109.82,1441539.811,4374098.0,213.0,4371950.0,1457316.667,2523199.985,4370857.0,90.0,0,0,0,0,336,136,1.564789238,0.625915695,0.0,8736.0,807.2,2316.979413,5368393.6,0,0,0,1,0,0,0,DoS GoldenEye
172.16.0.1,239.77.92.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,10526.31579,10526.31579,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,SSH-Patator
172.16.0.1,210.11.193.173,710972.534,2003993.0,998526.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,0.999161038,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,22.161.132.29,0.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,8163.265306,4081.632653,0.0,14.0,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,FTP-Patator
172.16.0.1,70.24.65.55,40800000.0,99900000.0,0.0,141481.0,28296.2,56629.1781,129179.0,30.0,0,0,0,0,220,200,0.069954617,0.0599611,0.0,5792.0,855.1428571,1665.472253,2773797.824,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,155.152.33.79,11900000.0,32100000.0,997588.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.110848825,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS Slowhttptest
172.16.0.1,222.6.107.244,507.7026689,816.0,98.0,1836748.0,367349.6,820755.7691,1835562.0,3.0,0,0,0,0,72,132,1.633279707,3.266559415,0.0,4380.0,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,DDoS
172.16.0.1,98.92.194.56,13900000.0,51300000.0,336.0,103000000.0,51300000.0,28100000.0,71200000.0,31500000.0,0,0,0,0,496,100,0.144780157,0.028956031,0.0,231.0,134.0526316,116.8034787,13643.05263,0,0,0,1,0,0,0,DoS slowloris
192.168.10.8,205.174.165.73,70324.7311,122139.0,48.0,121414.0,60707.0,85055.04628,120850.0,564.0,0,0,0,0,92,72,32.57143322,24.42857492,0.0,198.0,43.0,76.44232186,5843.428571,0,0,0,1,0,0,0,Bot
172.16.0.1,128.211.72.195,44500000.0,99500000.0,5.0,99700000.0,16600000.0,40600000.0,99600000.0,91.0,0,0,0,0,164,232,0.060161369,0.070188264,0.0,4344.0,858.8571429,1564.100324,2446409.824,1,0,0,0,0,0,0,DoS Hulk
172.16.0.1,207.29.239.138,887081.2761,2238970.0,673.0,11400000.0,356060.9375,725510.7403,2176468.0,4.0,0,0,0,0,648,1064,1.755298874,2.896243143,0.0,976.0,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,SSH-Patator
