Source IP,Destination IP,Flow ID,Source Port,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Label
205.174.165.73,81.125.187.46,192.168.10.8-205.174.165.73-2935-8080-6,8080,2935,6,7/7/2017 10:45,19,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,631578.9474,105263.1579,19.0,0.0,19.0,19.0,0.0,0.0,Bot
172.16.0.1,160.70.161.232,172.16.0.1-192.168.10.50-54436-80-6,54436,80,6,5/7/2017 10:06,90,1,1,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,88888.88889,22222.22222,90.0,0.0,90.0,90.0,0.0,0.0,DoS slowloris
172.16.0.1,228.72.247.217,172.16.0.1-192.168.10.50-56058-80-6,56058,80,6,5/7/2017 9:53,3002743,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999086502,1501371.5,711053.1441,2004162.0,998581.0,3002743.0,1501371.5,DoS slowloris
172.16.0.1,80.96.222.132,172.16.0.1-192.168.10.50-45356-80-6,45356,80,6,5/7/2017 11:19,7744936,8,6,510.0,11632.0,510.0,0.0,63.75,180.3122292,5840.0,0.0,1938.666667,2550.37524,1567.734065,1.807632755,595764.3077,1524833.673,4999578.0,4.0,2745358.0,392194.0,DoS GoldenEye
172.16.0.1,51.157.8.252,172.16.0.1-192.168.10.50-48360-22-6,48360,22,6,4/7/2017 2:30,65,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30769.23077,65.0,0.0,65.0,65.0,0.0,0.0,SSH-Patator
172.16.0.1,77.219.222.237,172.16.0.1-192.168.10.50-54496-80-6,54496,80,6,5/7/2017 9:49,102699170,14,3,2541.0,6.0,231.0,0.0,181.5,98.36333745,6.0,0.0,2.0,3.464101615,24.80058992,0.16553201,6418698.125,13200000.0,51400000.0,4.0,103000000.0,7899930.0,DoS slowloris
172.16.0.1,70.140.203.138,172.16.0.1-192.168.10.50-52928-21-6,52928,21,6,4/7/2017 9:25,3,2,0,14.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,FTP-Patator
172.16.0.1,70.35.86.231,172.16.0.1-192.168.10.50-46328-80-6,46328,80,6,5/7/2017 10:44,98333896,8,7,337.0,11595.0,337.0,0.0,42.125,119.1474926,5792.0,0.0,1656.428571,2118.227235,121.3416786,0.1525415,7023849.714,26300000.0,98300000.0,2.0,98300000.0,14000000.0,DoS Hulk
172.16.0.1,173.220.168.255,172.16.0.1-192.168.10.50-41966-4449-6,41966,4449,6,7/7/2017 2:55,54,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,111111.1111,37037.03704,54.0,0.0,54.0,54.0,0.0,0.0,PortScan
172.16.0.1,80.236.253.114,172.16.0.1-192.168.10.50-36978-80-6,36978,80,6,5/7/2017 10:51,99676974,9,6,384.0,11595.0,384.0,0.0,42.66666667,128.0,4344.0,0.0,1932.5,2178.085008,120.1782069,0.150486109,7119783.857,26600000.0,99500000.0,0.0,99500000.0,12400000.0,DoS Hulk
172.16.0.1,19.204.90.200,172.16.0.1-192.168.10.50-35300-9535-6,35300,9535,6,7/7/2017 2:55,43,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,139534.8837,46511.62791,43.0,0.0,43.0,43.0,0.0,0.0,PortScan
172.16.0.1,20.59.160.97,172.16.0.1-192.168.10.50-54766-12345-6,54766,12345,6,7/7/2017 2:54,27,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,222222.2222,74074.07407,27.0,0.0,27.0,27.0,0.0,0.0,PortScan
172.16.0.1,27.133.147.125,172.16.0.1-192.168.10.50-36566-80-6,36566,80,6,5/7/2017 11:12,11904323,5,4,431.0,3525.0,431.0,0.0,86.2,192.7490597,3525.0,0.0,881.25,1762.5,332.3162518,0.756027873,1488040.375,2800576.758,6899715.0,23.0,6903258.0,1725814.5,DoS GoldenEye
172.16.0.1,214.125.45.173,172.16.0.1-192.168.10.50-52386-21-6,52386,21,6,4/7/2017 9:21,8492966,9,15,104.0,188.0,24.0,0.0,11.55555556,9.261629326,34.0,0.0,12.53333333,14.54975045,34.38139279,2.825867901,369259.3913,939130.5323,3051941.0,3.0,5651283.0,706410.375,FTP-Patator
172.16.0.1,149.240.239.188,172.16.0.1-192.168.10.50-57160-80-6,57160,80,6,5/7/2017 9:56,3002652,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999116781,1501326.0,710855.8613,2003977.0,998675.0,3002652.0,1501326.0,DoS slowloris
172.16.0.1,130.9.8.6,172.16.0.1-192.168.10.50-41550-80-6,41550,80,6,5/7/2017 11:18,8432355,8,4,302.0,11632.0,302.0,0.0,37.75,106.773124,10184.0,0.0,2908.0,4898.459077,1415.262996,1.423089991,766577.7273,1771965.126,5299648.0,45.0,8432355.0,1204622.143,DoS GoldenEye
172.16.0.1,130.28.171.145,172.16.0.1-192.168.10.50-46422-22-6,46422,22,6,4/7/2017 2:10,13164342,22,33,2008.0,2745.0,640.0,0.0,91.27272727,138.1821372,976.0,0.0,83.18181818,217.2857356,361.0510879,4.177952837,243784.1111,664343.4963,2362930.0,3.0,11200000.0,534105.381,SSH-Patator
172.16.0.1,183.14.218.179,172.16.0.1-192.168.10.50-45540-80-6,45540,80,6,2017-07-06 09:53:00,79,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25316.4557,79.0,0.0,79.0,79.0,0.0,0.0,Web Attack – Brute Force
192.168.10.15,205.174.165.73,192.168.10.15-205.174.165.73-53866-8080-6,53866,8080,6,7/7/2017 12:25,1013827,3,3,0.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,17.75450841,5.918169471,202765.4,276907.7835,512666.0,489.0,1013338.0,506669.0,Bot
172.16.0.1,179.35.54.146,172.16.0.1-192.168.10.50-36182-80-6,36182,80,6,2017-07-06 10:35:00,5029253,9,7,1675.0,5647.0,559.0,0.0,186.1111111,228.3754827,3076.0,0.0,806.7142857,1133.389123,1455.882216,3.181386977,335283.5333,1280975.27,4965597.0,4.0,63656.0,7957.0,Web Attack – XSS
172.16.0.1,161.237.242.142,172.16.0.1-192.168.10.50-23833-80-6,23833,80,6,7/7/2017 4:03,11282702,4,0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.127150039,0.354525007,3760900.667,6513203.299,11300000.0,2.0,11300000.0,3760900.667,DDoS
172.16.0.1,88.131.209.137,172.16.0.1-192.168.10.50-41846-80-6,41846,80,6,5/7/2017 11:18,107682642,2,1,295.0,6.0,295.0,0.0,147.5,208.5965005,6.0,6.0,6.0,0.0,2.795250882,0.027859643,53800000.0,76100000.0,108000000.0,43.0,108000000.0,108000000.0,DoS GoldenEye
172.16.0.1,41.20.158.122,172.16.0.1-192.168.10.50-39932-80-6,39932,80,6,5/7/2017 10:55,99417810,5,8,367.0,11595.0,355.0,0.0,73.4,157.4477691,4344.0,0.0,1449.375,1895.881019,120.3204939,0.130761279,8284817.5,28700000.0,99400000.0,2.0,99400000.0,24900000.0,DoS Hulk
172.16.0.1,23.170.215.39,172.16.0.1-192.168.10.50-55618-80-6,55618,80,6,5/7/2017 10:54,65935592,7,6,321.0,11595.0,321.0,0.0,45.85714286,121.3265958,4344.0,0.0,1932.5,1754.831473,180.7218171,0.197162103,5494632.667,19000000.0,65800000.0,1.0,65900000.0,11000000.0,DoS Hulk
192.168.10.5,205.174.165.73,192.168.10.5-205.174.165.73-53720-8080-6,53720,8080,6,7/7/2017 10:43,89356,28,54,109702.0,440.0,18980.0,0.0,3917.928571,3928.301734,128.0,0.0,8.148148148,16.63754269,1232620.081,917.6776042,1103.160494,8566.840832,77230.0,0.0,89356.0,3309.481481,Bot
172.16.0.1,213.87.211.164,172.16.0.1-192.168.10.50-33404-80-6,33404,80,6,2017-07-06 10:30:00,5534810,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722698701,1844936.667,3194765.42,5533934.0,131.0,5534810.0,2767405.0,Web Attack – XSS
172.16.0.1,151.10.74.118,172.16.0.1-192.168.10.50-54502-80-6,54502,80,6,2017-07-06 09:32:00,5900259,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677936341,1966753.0,3405925.5,5899577.0,122.0,5900259.0,2950129.5,Web Attack – Brute Force
172.16.0.1,177.65.221.22,172.16.0.1-192.168.10.50-57920-80-6,57920,80,6,5/7/2017 11:00,2782,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.268152,695.5,804.8140572,1897.0,217.0,2782.0,695.5,DoS Hulk
172.16.0.1,14.165.198.198,172.16.0.1-192.168.10.50-55148-21-6,55148,21,6,4/7/2017 9:42,9138501,9,15,104.0,188.0,25.0,0.0,11.55555556,9.328867979,34.0,0.0,12.53333333,14.54975045,31.95272398,2.626251286,397326.1304,1032598.466,3280686.0,3.0,6263951.0,782993.875,FTP-Patator
172.16.0.1,183.117.53.184,172.16.0.1-192.168.10.50-51182-44442-6,51182,44442,6,7/7/2017 2:55,49,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49.0,49.0,0.0,0.0,PortScan
172.16.0.1,151.162.166.183,172.16.0.1-192.168.10.50-52188-21-6,52188,21,6,4/7/2017 9:19,10214690,9,15,93.0,188.0,19.0,0.0,10.33333333,7.90569415,34.0,0.0,12.53333333,14.54975045,27.50940068,2.349557353,444116.9565,1100654.157,3388818.0,3.0,7224608.0,903076.0,FTP-Patator
172.16.0.1,81.110.176.111,172.16.0.1-192.168.10.50-41294-80-6,41294,80,6,5/7/2017 11:18,4077083,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490546795,4077083.0,0.0,4077083.0,4077083.0,4077083.0,4077083.0,DoS GoldenEye
172.16.0.1,120.57.56.181,172.16.0.1-192.168.10.50-52810-80-6,52810,80,6,5/7/2017 10:58,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,inf,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
205.174.165.73,103.72.64.27,192.168.10.5-205.174.165.73-53531-8080-6,8080,53531,6,7/7/2017 10:35,7,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,1714285.714,285714.2857,7.0,0.0,7.0,7.0,0.0,0.0,Bot
172.16.0.1,137.135.91.169,172.16.0.1-192.168.10.50-50452-80-6,50452,80,6,5/7/2017 10:33,63143299,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110858953,10500000.0,11900000.0,32100000.0,999921.0,63100000.0,10500000.0,DoS Slowhttptest
172.16.0.1,103.150.70.58,172.16.0.1-192.168.10.50-45002-1106-6,45002,1106,6,7/7/2017 2:51,74,1,1,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,108108.1081,27027.02703,74.0,0.0,74.0,74.0,0.0,0.0,PortScan
172.16.0.1,195.172.213.179,172.16.0.1-192.168.10.50-41948-80-6,41948,80,6,2017-07-06 09:49:00,5076689,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787915116,1692229.667,2930395.571,5075959.0,143.0,5076689.0,2538344.5,Web Attack – Brute Force
172.16.0.1,123.13.48.66,172.16.0.1-192.168.10.50-43784-80-6,43784,80,6,5/7/2017 10:55,86011969,7,5,328.0,11595.0,328.0,0.0,46.85714286,123.9723471,10136.0,0.0,2319.0,4414.366206,138.6202425,0.139515467,7819269.909,25900000.0,85900000.0,1.0,85900000.0,14300000.0,DoS Hulk
172.16.0.1,108.40.93.212,172.16.0.1-192.168.10.50-61805-80-6,61805,80,6,7/7/2017 4:04,2052981,4,0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11.69031764,1.948386273,684327.0,1182734.409,2050030.0,3.0,2052981.0,684327.0,DDoS
172.16.0.1,219.139.182.8,172.16.0.1-192.168.10.50-57836-21-6,57836,21,6,4/7/2017 10:02,9469975,9,15,111.0,188.0,24.0,0.0,12.33333333,10.04987562,34.0,0.0,12.53333333,14.54975045,31.573473,2.534325592,411738.0435,1071225.789,3299855.0,3.0,6126816.0,765852.0,FTP-Patator
172.16.0.1,44.157.37.86,172.16.0.1-192.168.10.50-57590-80-6,57590,80,6,5/7/2017 9:57,3003779,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998741918,1501889.5,710013.6972,2003945.0,999834.0,3003779.0,1501889.5,DoS slowloris
172.16.0.1,43.184.175.194,172.16.0.1-192.168.10.50-35990-80-6,35990,80,6,2017-07-06 10:35:00,5723985,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698813851,1907995.0,3304130.279,5723276.0,97.0,5723985.0,2861992.5,Web Attack – XSS
172.16.0.1,236.140.52.200,172.16.0.1-192.168.10.50-36456-80-6,36456,80,6,5/7/2017 11:12,11865103,7,4,442.0,11632.0,442.0,0.0,63.14285714,167.0602971,11632.0,0.0,2908.0,5816.0,1017.606,0.927088454,1186510.3,2538638.147,6863752.0,3.0,6868192.0,1144698.667,DoS GoldenEye
172.16.0.1,171.208.154.91,172.16.0.1-192.168.10.50-54206-80-6,54206,80,6,5/7/2017 10:06,118012699,2,2,16.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.13557863,0.033894657,39300000.0,68100000.0,118000000.0,38.0,118000000.0,118000000.0,DoS slowloris
172.16.0.1,117.128.70.254,172.16.0.1-192.168.10.50-46994-22-6,46994,22,6,4/7/2017 2:16,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,20.0,0.0,20.0,20.0,0.0,0.0,SSH-Patator
172.16.0.1,112.56.220.32,172.16.0.1-192.168.10.50-48782-80-6,48782,80,6,5/7/2017 10:33,111067830,5,3,534.0,0.0,520.0,0.0,106.8,231.0653587,0.0,0.0,0.0,0.0,4.807872811,0.072028057,15900000.0,41300000.0,110000000.0,31.0,111000000.0,27800000.0,DoS Slowhttptest
172.16.0.1,36.81.234.169,172.16.0.1-192.168.10.50-54068-21-6,54068,21,6,4/7/2017 9:34,47,2,0,14.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,297872.3404,42553.19149,47.0,0.0,47.0,47.0,47.0,47.0,FTP-Patator
205.174.165.73,106.225.223.101,192.168.10.15-205.174.165.73-52937-8080-6,8080,52937,6,7/7/2017 10:48,32,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,375000.0,62500.0,32.0,0.0,32.0,32.0,0.0,0.0,Bot
172.16.0.1,87.31.112.169,172.16.0.1-192.168.10.50-36204-80-6,36204,80,6,2017-07-06 10:41:00,5006168,4,4,599.0,2021.0,599.0,0.0,149.75,299.5,2021.0,0.0,505.25,1010.5,523.35439,1.598028672,715166.8571,1889455.998,5000049.0,108.0,6119.0,2039.666667,Web Attack – Sql Injection
172.16.0.1,216.70.3.54,172.16.0.1-192.168.10.50-53948-80-6,53948,80,6,5/7/2017 10:04,100997247,2,2,16.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.15842016,0.03960504,33700000.0,58300000.0,101000000.0,52.0,101000000.0,101000000.0,DoS slowloris
172.16.0.1,197.56.110.100,172.16.0.1-192.168.10.50-40968-80-6,40968,80,6,5/7/2017 10:53,85644156,9,6,409.0,11595.0,409.0,0.0,45.44444444,136.3333333,4344.0,0.0,1932.5,1977.812908,140.1613439,0.175143299,6117439.714,22800000.0,85500000.0,1.0,85500000.0,10700000.0,DoS Hulk
172.16.0.1,4.247.15.238,172.16.0.1-192.168.10.50-53702-80-6,53702,80,6,5/7/2017 10:58,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,DoS Hulk
192.168.10.14,205.174.165.73,192.168.10.14-205.174.165.73-53014-8080-6,53014,8080,6,7/7/2017 12:07,1011372,3,3,0.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,17.79760563,5.93253521,202274.4,276293.4498,507628.0,469.0,1010809.0,505404.5,Bot
172.16.0.1,45.149.87.90,172.16.0.1-192.168.10.50-45196-80-6,45196,80,6,5/7/2017 10:47,1007,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.097319,1007.0,0.0,1007.0,1007.0,1007.0,1007.0,DoS Hulk
172.16.0.1,151.76.18.157,172.16.0.1-192.168.10.50-51868-80-6,51868,80,6,7/7/2017 3:56,875495,3,6,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,5840.0,0.0,1934.5,2538.919278,13287.3403,10.2798988,109436.875,308300.3842,872440.0,10.0,2690.0,1345.0,DDoS
172.16.0.1,179.108.45.236,172.16.0.1-192.168.10.50-49056-22-6,49056,22,6,4/7/2017 2:37,101,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19801.9802,101.0,0.0,101.0,101.0,0.0,0.0,SSH-Patator
172.16.0.1,7.40.110.226,172.16.0.1-192.168.10.50-56596-80-6,56596,80,6,7/7/2017 3:59,73850290,8,6,56.0,11601.0,20.0,0.0,7.0,5.656854249,5755.0,0.0,1933.5,2166.985348,157.8463673,0.189572715,5680791.538,16900000.0,60900000.0,1.0,72500000.0,10400000.0,DDoS
192.168.10.5,205.174.165.73,192.168.10.5-205.174.165.73-53725-8080-6,53725,8080,6,7/7/2017 10:44,67867,4,3,208.0,134.0,196.0,0.0,52.0,96.04165763,128.0,0.0,44.66666667,72.23111056,5039.26798,103.1429119,11311.16667,26678.28202,65765.0,65.0,67867.0,22622.33333,Bot
172.16.0.1,133.226.206.232,172.16.0.1-192.168.10.50-35566-80-6,35566,80,6,5/7/2017 10:22,109941420,4,3,528.0,0.0,520.0,0.0,132.0,258.6941566,0.0,0.0,0.0,0.0,4.80255758,0.063670271,18300000.0,44900000.0,110000000.0,47.0,110000000.0,36600000.0,DoS Slowhttptest
172.16.0.1,80.145.52.250,172.16.0.1-192.168.10.50-41802-80-6,41802,80,6,5/7/2017 10:53,85646033,9,6,360.0,11595.0,354.0,0.0,40.0,117.7667186,4344.0,0.0,1932.5,1754.831473,139.5861499,0.17513946,6117573.786,22800000.0,85500000.0,1.0,85500000.0,10700000.0,DoS Hulk
172.16.0.1,149.157.221.63,172.16.0.1-192.168.10.50-48214-22-6,48214,22,6,4/7/2017 2:29,78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25641.02564,78.0,0.0,78.0,78.0,0.0,0.0,SSH-Patator
172.16.0.1,103.213.22.150,172.16.0.1-192.168.10.50-54186-80-6,54186,80,6,5/7/2017 10:06,51,1,1,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,156862.7451,39215.68627,51.0,0.0,51.0,51.0,0.0,0.0,DoS slowloris
205.174.165.73,205.47.166.147,192.168.10.14-205.174.165.73-51655-8080-6,8080,51655,6,7/7/2017 10:32,48,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,250000.0,41666.66667,48.0,0.0,48.0,48.0,0.0,0.0,Bot
172.16.0.1,57.194.193.243,172.16.0.1-192.168.10.50-54656-80-6,54656,80,6,5/7/2017 10:52,85575238,8,7,310.0,11595.0,304.0,0.0,38.75,107.1977478,4344.0,0.0,1656.428571,1547.737688,139.1173461,0.17528435,6112517.0,22800000.0,85400000.0,1.0,85400000.0,12200000.0,DoS Hulk
172.16.0.1,143.38.220.23,172.16.0.1-192.168.10.50-43338-80-6,43338,80,6,5/7/2017 10:50,102418148,10,5,1660.0,11595.0,332.0,0.0,166.0,174.9793639,5792.0,0.0,2319.0,2423.629716,129.4204226,0.146458419,7315582.0,26900000.0,101000000.0,1.0,102000000.0,11400000.0,DoS Hulk
172.16.0.1,82.232.177.184,172.16.0.1-192.168.10.50-27298-80-6,27298,80,6,7/7/2017 4:05,1869463,3,6,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,4380.0,0.0,1934.5,2177.344966,6222.642545,4.814216703,233682.875,659776.8728,1866546.0,17.0,2572.0,1286.0,DDoS
172.16.0.1,162.205.122.94,172.16.0.1-192.168.10.50-56190-80-6,56190,80,6,5/7/2017 9:53,3003898,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998702353,1501949.0,709748.5321,2003817.0,1000081.0,3003898.0,1501949.0,DoS slowloris
172.16.0.1,193.241.187.65,172.16.0.1-192.168.10.51-45022-444-6,45022,444,6,5/7/2017 3:20,119297996,2782,2089,9368.0,7882432.0,1448.0,0.0,3.36736161,30.50502966,17376.0,0.0,3773.303973,2372.06653,66151.99135,40.83052661,24496.50842,153244.6799,995302.0,0.0,119000000.0,42897.49874,Heartbleed
172.16.0.1,218.175.154.31,172.16.0.1-192.168.10.50-37214-80-6,37214,80,6,5/7/2017 11:13,9454101,4,5,327.0,3525.0,327.0,0.0,81.75,163.5,2077.0,0.0,705.0,990.6447396,407.4422306,0.951967829,1181762.625,2189392.71,4993261.0,16.0,4460840.0,1486946.667,DoS GoldenEye
192.168.10.15,205.174.165.73,192.168.10.15-205.174.165.73-52943-8080-6,52943,8080,6,7/7/2017 10:49,0,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,80.94.107.48,172.16.0.1-192.168.10.50-41636-80-6,41636,80,6,5/7/2017 10:52,225,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8888.888889,225.0,0.0,225.0,225.0,225.0,225.0,DoS Hulk
172.16.0.1,58.72.127.169,172.16.0.1-192.168.10.50-55458-80-6,55458,80,6,5/7/2017 9:51,102709507,14,3,2541.0,6.0,231.0,0.0,181.5,98.36333745,6.0,0.0,2.0,3.464101615,24.79809391,0.16551535,6419344.188,13200000.0,51400000.0,49.0,103000000.0,7900715.231,DoS slowloris
172.16.0.1,238.145.132.35,172.16.0.1-192.168.10.50-50972-22-6,50972,22,6,4/7/2017 2:57,77,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25974.02597,77.0,0.0,77.0,77.0,0.0,0.0,SSH-Patator
172.16.0.1,38.7.26.87,172.16.0.1-192.168.10.50-20418-80-6,20418,80,6,7/7/2017 4:00,440367,3,4,26.0,11601.0,20.0,0.0,8.666666667,10.26320288,7215.0,0.0,2900.25,3540.00286,26402.97752,15.89583234,73394.5,169082.7331,418076.0,49.0,22053.0,11026.5,DDoS
172.16.0.1,74.202.172.161,172.16.0.1-192.168.10.50-54108-80-6,54108,80,6,2017-07-06 10:19:00,5130556,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.779642596,1710185.333,2961370.132,5129681.0,124.0,5130556.0,2565278.0,Web Attack – XSS
